Absolute Error,Predictions_Bins_Lower,Predictions_Bins_Upper
4.050286537086348,0.0234, 3.197
7.005198705511245,3.197, 5.055
11.167907122385296,5.055, 7.093
13.65678114965741,7.093, 9.358
17.45111079634847,9.358, 12.001
21.163903411688324,12.001, 15.073
27.66925086377587,15.073, 18.611
32.35497615319798,18.611, 22.739
37.288454798167336,22.739, 27.503
43.8420483541723,27.503, 33.053
50.55507596939143,33.053, 39.483
59.64045577142983,39.483, 47.171
70.07717822986388,47.171, 56.254
78.5589541674246,56.254, 66.911
91.65908319885666,66.911, 79.279
107.25436031379044,79.279, 94.769
121.43586746302505,94.769, 113.059
132.79102341490238,113.059, 135.557
147.7745542760563,135.557, 164.092
156.83986560249798,164.092, 200.419
169.22016947978253,200.419, 243.351
184.37656438907183,243.351, 295.499
204.30110722384816,295.499, 368.098
258.64133274639386,368.098, 501.729
379.9491248115419,501.729, 8428.39
